Baud, Errors
8010, 18992, 31
8011, 18992, 34
8012, 18992, 47
8013, 18992, 47
8014, 18992, 45
8015, 18992, 37
8016, 18992, 42
8017, 18992, 38
8018, 18992, 42
8019, 18992, 30
8020, 18992, 18
8021, 18992, 9
8022, 18992, 18
8023, 18992, 31
8024, 18992, 44
8025, 18992, 40
8026, 18992, 43
8027, 18992, 39
8028, 18992, 45
8029, 18992, 42
8030, 18992, 45
8031, 18992, 31
8032, 18992, 16
8033, 18992, 11
8034, 18992, 15
8035, 18992, 25
8036, 18992, 31
8037, 18992, 37
8038, 18992, 40
8039, 18992, 42
8040, 18992, 40
8041, 18992, 41
8042, 18992, 37
8043, 18992, 33
8044, 18992, 27
8045, 18992, 14
8046, 18992, 7
8047, 18992, 13
8048, 18992, 30
8049, 18992, 35
8050, 18992, 40
8051, 18992, 41
8052, 18992, 40
8053, 18992, 44
8054, 18992, 42
8055, 18992, 38
8056, 18992, 36
8057, 18992, 16
8058, 18992, 6
8059, 18992, 9
8060, 18992, 27
8061, 18992, 36
8062, 18992, 41
8063, 18992, 40
8064, 18992, 40
8065, 18992, 40
8066, 18992, 38
8067, 18992, 36
8068, 18992, 35
8069, 18992, 28
8070, 18992, 16
8071, 18992, 9
8072, 18992, 16
8073, 18992, 27
8074, 18992, 40
8075, 18992, 36
8076, 18992, 37
8077, 18992, 41
8078, 18992, 39
8079, 18992, 40
8080, 18992, 34
8081, 18992, 32
8082, 18992, 17
8083, 18992, 5
8084, 18992, 9
8085, 18992, 30
8086, 18992, 38
8087, 18992, 37
8088, 18992, 40
8089, 18992, 40
8090, 18992, 41
8091, 18992, 40
8092, 18992, 41
8093, 18992, 38
8094, 18992, 29
8095, 18992, 9
8096, 18992, 6
8097, 18992, 20
8098, 18992, 33
8099, 18992, 34
8100, 18992, 43
7900, 18993, 44
7901, 18993, 40
7902, 18993, 43
7903, 18993, 41
7904, 18993, 41
7905, 18993, 39
7906, 18993, 33
7907, 18993, 13
7908, 18993, 6
7909, 18993, 13
7910, 18993, 30
7911, 18993, 38
7912, 18993, 40
7913, 18993, 43
7914, 18993, 43
7915, 18993, 44
7916, 18993, 42
7917, 18993, 41
7918, 18993, 38
7919, 18993, 27
7920, 18993, 12
7921, 18993, 10
