Baud,Silence,Errors
7999.0, 12, 42
7999.5, 12, 39
8000.0, 12, 43
8000.5, 12, 44
8001.0, 12, 42
8001.5, 12, 43
8002.0, 12, 41
8002.5, 12, 42
8003.0, 12, 42
8003.5, 12, 43
8004.0, 12, 42
8004.5, 12, 45
8005.0, 12, 38
8005.5, 12, 29
8006.0, 12, 30
8006.5, 12, 28
8007.0, 12, 16
8007.5, 12, 18
8008.0, 12, 12
8008.5, 12, 13
8009.0, 12, 17
8009.5, 12, 13
8010.0, 12, 28
7990.0, 13, 44
7990.5, 13, 44
7991.0, 13, 45
7991.5, 13, 42
7992.0, 13, 42
7992.5, 13, 41
7993.0, 13, 39
7993.5, 13, 29
7994.0, 13, 28
7994.5, 13, 25
7995.0, 13, 13
7995.5, 13, 5
7996.0, 13, 9
7996.5, 13, 10
7997.0, 13, 20
7997.5, 13, 22
7998.0, 13, 31
7998.5, 13, 41
7999.0, 13, 40
7999.5, 13, 39
8000.0, 13, 44
8000.5, 13, 44
8001.0, 13, 41
8001.5, 13, 42
8002.0, 13, 41
8002.5, 13, 42
8003.0, 13, 41
8003.5, 13, 43
8004.0, 13, 44
8004.5, 13, 46
8005.0, 13, 37
8005.5, 13, 31
8006.0, 13, 33
8006.5, 13, 27
8007.0, 13, 13
8007.5, 13, 18
8008.0, 13, 12
8008.5, 13, 14
8009.0, 13, 15
8009.5, 13, 14
8010.0, 13, 29
7990.0, 14, 44
7990.5, 14, 45
7991.0, 14, 44
7991.5, 14, 41
7992.0, 14, 42
7992.5, 14, 42
7993.0, 14, 39
7993.5, 14, 29
7994.0, 14, 30
7994.5, 14, 27
7995.0, 14, 13
7995.5, 14, 6
7996.0, 14, 9
7996.5, 14, 9
7997.0, 14, 16
7997.5, 14, 23
7998.0, 14, 33
7998.5, 14, 35
7999.0, 14, 40
7999.5, 14, 37
8000.0, 14, 42
8000.5, 14, 43
8001.0, 14, 40
8001.5, 14, 43
8002.0, 14, 43
8002.5, 14, 42
8003.0, 14, 44
8003.5, 14, 41
8004.0, 14, 44
8004.5, 14, 46
8005.0, 14, 36
8005.5, 14, 33
8006.0, 14, 29
8006.5, 14, 27
8007.0, 14, 13
8007.5, 14, 14
8008.0, 14, 15
8008.5, 14, 12
8009.0, 14, 13
8009.5, 14, 15
8010.0, 14, 30
7990.0, 15, 45
7990.5, 15, 43
7991.0, 15, 44
7991.5, 15, 42
7992.0, 15, 46
7992.5, 15, 43
7993.0, 15, 40
7993.5, 15, 32
7994.0, 15, 31
7994.5, 15, 26
7995.0, 15, 14
7995.5, 15, 5
7996.0, 15, 10
7996.5, 15, 12
7997.0, 15, 17
7997.5, 15, 22
7998.0, 15, 33
7998.5, 15, 36
7999.0, 15, 39
7999.5, 15, 41
8000.0, 15, 44
8000.5, 15, 43
8001.0, 15, 43
8001.5, 15, 45
8002.0, 15, 42
8002.5, 15, 41
8003.0, 15, 42
8003.5, 15, 39
8004.0, 15, 48
8004.5, 15, 45
8005.0, 15, 39
8005.5, 15, 35
8006.0, 15, 30
8006.5, 15, 25
8007.0, 15, 14
8007.5, 15, 17
8008.0, 15, 12
8008.5, 15, 13
8009.0, 15, 17
8009.5, 15, 14
8010.0, 15, 28
7990.0, 16, 44
7990.5, 16, 46
7991.0, 16, 43
7991.5, 16, 44
7992.0, 16, 48
7992.5, 16, 43
7993.0, 16, 38
7993.5, 16, 31
7994.0, 16, 28
7994.5, 16, 23
7995.0, 16, 17
7995.5, 16, 7
7996.0, 16, 11
7996.5, 16, 11
7997.0, 16, 18
7997.5, 16, 20
7998.0, 16, 33
7998.5, 16, 33
7999.0, 16, 39
7999.5, 16, 41
8000.0, 16, 45
8000.5, 16, 46
8001.0, 16, 42
8001.5, 16, 42
8002.0, 16, 41
8002.5, 16, 41
8003.0, 16, 43
8003.5, 16, 42
8004.0, 16, 46
8004.5, 16, 44
8005.0, 16, 38
8005.5, 16, 30
8006.0, 16, 31
8006.5, 16, 27
8007.0, 16, 18
8007.5, 16, 19
8008.0, 16, 10
8008.5, 16, 13
8009.0, 16, 16
8009.5, 16, 14
8010.0, 16, 30
7990.0, 17, 45
7990.5, 17, 43
7991.0, 17, 45
7991.5, 17, 43
7992.0, 17, 47
7992.5, 17, 43
7993.0, 17, 39
7993.5, 17, 30
7994.0, 17, 28
7994.5, 17, 22
7995.0, 17, 17
7995.5, 17, 8
7996.0, 17, 10
7996.5, 17, 9
7997.0, 17, 18
7997.5, 17, 20
7998.0, 17, 29
7998.5, 17, 37
7999.0, 17, 41
7999.5, 17, 42
8000.0, 17, 45
8000.5, 17, 43
8001.0, 17, 38
8001.5, 17, 41
8002.0, 17, 38
8002.5, 17, 42
8003.0, 17, 45
8003.5, 17, 43
8004.0, 17, 44
8004.5, 17, 45
8005.0, 17, 35
8005.5, 17, 30
8006.0, 17, 28
8006.5, 17, 25
8007.0, 17, 17
8007.5, 17, 17
8008.0, 17, 13
8008.5, 17, 12
8009.0, 17, 14
8009.5, 17, 14
8010.0, 17, 29
7990.0, 18, 45
7990.5, 18, 43
7991.0, 18, 46
7991.5, 18, 45
7992.0, 18, 46
7992.5, 18, 43
7993.0, 18, 37
7993.5, 18, 32
7994.0, 18, 26
7994.5, 18, 21
7995.0, 18, 17
7995.5, 18, 7
7996.0, 18, 10
7996.5, 18, 10
7997.0, 18, 16
7997.5, 18, 21
7998.0, 18, 30
7998.5, 18, 40
7999.0, 18, 42
7999.5, 18, 44
8000.0, 18, 43
8000.5, 18, 42
8001.0, 18, 38
8001.5, 18, 43
8002.0, 18, 42
8002.5, 18, 43
8003.0, 18, 43
8003.5, 18, 45
8004.0, 18, 44
8004.5, 18, 44
8005.0, 18, 34
8005.5, 18, 29
8006.0, 18, 30
8006.5, 18, 28
8007.0, 18, 17
8007.5, 18, 17
8008.0, 18, 14
8008.5, 18, 11
8009.0, 18, 14
8009.5, 18, 13
8010.0, 18, 31
7990.0, 19, 43
7990.5, 19, 44
7991.0, 19, 44
7991.5, 19, 42
7992.0, 19, 43
7992.5, 19, 47
7993.0, 19, 40
7993.5, 19, 32
7994.0, 19, 28
7994.5, 19, 23
7995.0, 19, 18
7995.5, 19, 7
7996.0, 19, 9
7996.5, 19, 10
7997.0, 19, 19
7997.5, 19, 24
7998.0, 19, 30
7998.5, 19, 38
7999.0, 19, 42
7999.5, 19, 43
8000.0, 19, 42
8000.5, 19, 43
8001.0, 19, 40
8001.5, 19, 45
8002.0, 19, 40
8002.5, 19, 42
8003.0, 19, 43
8003.5, 19, 42
8004.0, 19, 43
8004.5, 19, 45
8005.0, 19, 33
8005.5, 19, 32
8006.0, 19, 28
8006.5, 19, 28
8007.0, 19, 15
8007.5, 19, 17
8008.0, 19, 11
8008.5, 19, 12
